time,expected_pnl,is_bid,market,price,size_base,size_usd,total_cost,total_units,rolling_pnl
2026-04-05 00:08:06.997060582,0.028815593160487544,False,MONUSDC,0.027129999854872976,6890.5134906008,186.90518,-15147.746742999998,-558183.715641163,4.222618662784953
2026-04-05 00:08:06.997071422,0.02137937597521938,False,MONUSDC,0.02712999980439699,5112.3935495761,138.67368,-15286.445978999998,-563296.1091907391,4.222646837661159
2026-04-05 00:08:07.406387010,0.012439459794134616,False,MONUSDC,0.02712999966377205,2974.1671212679,80.68915,-15367.135131999998,-566270.276312007,4.222726051142672
2026-04-05 00:08:07.406398580,0.017106631764168687,False,MONUSDC,0.027129999755498995,4089.9577589384,110.96055,-15478.095684999998,-570360.2340709454,4.22267410889981
2026-04-05 00:08:07.809670074,0.0024820456026551133,False,MONUSDC,0.02712999831544145,593.6269812016,16.1051,-15494.200783999999,-570953.861052147,4.223495460459162
2026-04-05 00:08:07.809682964,0.0021538801112051353,False,MONUSDC,0.027129998058901622,515.1718024327,13.97661,-15508.177393999998,-571469.0328545797,4.223641932863757
2026-04-05 00:08:08.334253777,0.0003729156711686475,False,MONUSDC,0.02712999768576634,89.2030300935,2.42008,-15510.597471999998,-571558.2358846732,4.2238551681221
2026-04-05 00:08:08.334264988,0.001155976194775464,False,MONUSDC,0.027144986897720963,60.2948531958,1.6358,-15512.234174999998,-571618.530737869,-4.3433523739622615
2026-04-05 00:08:30.674193247,0.022259498345587596,False,MONUSDC,0.02713399962729307,2683.0671113731,72.79161,-15585.036516999999,-574301.597849242,1.93717500485036
2026-04-05 00:08:37.101676654,0.07881261224764823,False,MONUSDC,0.02712299994465148,18067.2957268738,490.25607,-16075.075777999999,-592368.8935761158,8.254310321750381
2026-04-05 00:08:37.495879852,0.05919710155465019,False,MONUSDC,0.027122999926352333,13578.1259816391,368.23878,-16443.355288,-605947.019557755,8.254321161595726
2026-04-05 00:08:37.885043382,0.011309761996615939,False,MONUSDC,0.027122999614543383,2594.3221251336,70.35802,-16513.721085999998,-608541.3416828886,8.254510101298365
2026-04-05 00:09:02.779096731,-0.0008836781304234022,False,MONUSDC,0.027123999212173507,1269.3121221058,34.43009,-16548.149907,-609810.6538049944,7.646213618318143
2026-04-05 00:09:19.486254759,-0.00041670967383729236,False,MONUSDC,0.027123998146303542,539.4622474561,14.63291,-16562.78228,-610350.1160524505,7.6468635971796175
2026-04-05 00:09:35.372810314,-0.005681918475009679,False,MONUSDC,0.02712399986435312,7372.0690163692,199.96737,-16762.742279,-617722.1850688197,7.645814985422476
2026-04-05 00:09:35.767895727,-0.005681918475009679,False,MONUSDC,0.02712399986435312,7372.0690163692,199.96737,-16962.702277999997,-625094.2540851888,7.645814985418838
